IP,GUID,Fairshots
79.179.160.243,dd4c3,"[(u'dd4c3', u'K1CKShaev', u'51.254.35.64:20109', u'1492721544', u'-K1CK-+Sha%7Cev%60'), (u'dd4c3', u'K1CKShaev', u'79.137.85.74:20105', u'1492383613', u'-K1CK-+Sha%7Cev%60')]"
156.204.255.131,,
177.228.80.231,,
197.42.136.135,,
156.204.152.206,,
217.55.32.138,,
156.205.220.67,,
197.164.175.50,,
80.112.185.96,79ee7,"[(u'79ee7', u'rqfatson', u'79.137.85.74:20100', u'1489172481', u'rq%2Afatso+%3An'), (u'79ee7', u'rqfatson', u'79.137.85.74:20105', u'1487534047', u'rq%2Afatso+%3An'), (u'79ee7', u'rqfatson', u'89.34.97.158:27015', u'1466363582', u'rq%2Afatso+%3An'), (u'79ee7', u'rqfatson', u'213.163.68.175:20100', u'1461348671', u'rq%2Afatso+%3An')]"
156.205.147.238,,
156.199.160.214,,
89.212.226.253,4f00f,"[(u'4f00f', u'BTPileeL', u'89.212.226.253:20100', u'1499785631', u'%60%2C%23BT%60Pilee%60L')]"
190.213.118.125,,
156.204.48.72,,
213.127.59.93,,
94.209.22.125,db9cf,"[(u'db9cf', u'sologaming', u'51.255.200.51:20104', u'1499815117', u'%5B%2B%5D+sologaming'), (u'db9cf', u'sologaming', u'51.255.200.51:20104', u'1499799219', u'%5B%2B%5D+sologaming'), (u'db9cf', u'sologaming', u'51.255.200.51:20104', u'1498690761', u'%5B%2B%5D+sologaming'), (u'db9cf', u'sologaming', u'51.255.200.51:20104', u'1498690607', u'%5B%2B%5D+sologaming'), (u'db9cf', u'zaidy', u'51.255.200.51:20104', u'1498170238', u'%5B%2B%5D+zaidy'), (u'db9cf', u'zaidy', u'51.254.35.64:20109', u'1497651494', u'%5B%2B%5D+zaidy')]"
156.205.98.55,80560,[]
196.135.17.10,,
104.221.90.35,6b240,"[(u'6b240', u'ccMadumgT', u'81.169.239.59:20100', u'1486244780', u'%5Bcc%5D+Madum.gT')]"
41.68.71.39,,
156.205.137.88,,
37.47.53.6,,
201.217.212.178,9b1ca,[]
41.35.31.246,,
197.162.105.159,,
217.113.235.27,523b5,[]
156.204.156.139,,
156.198.230.151,,
